,names,nfollowers,ntweets,type
678,SPSAnews,,109,
679,cd_lucas,,404,
680,prof_quiroz,,828,
681,MicheleJRusso1,,588,
682,nyusteinhardt,,18703,
683,TheChoiceLab,,1212,
684,nyuprimatology,,2470,
685,nyutandon,,12075,
686,peter_ciaccia,,2255,
687,hadleywickham,,26500,
688,AdamRubinMedia,,116624,
689,rstudiotips,,295,
690,NBCSNCycling,,9885,
691,scharpling,,102,
692,BrooklynBrewery,,23655,
693,Graham_Coop,,20458,
694,derekwillis,,79961,
695,wirecutter,,15595,
696,joe_pickrell,,5651,
697,4knotsfest,,1019,
698,EliasSports,,9934,
699,SPSPnews,,4631,
700,SolomonMg,,1314,
701,ACNewman,,19693,
702,patrick_sharkey,,2505,
703,realestateband,,2940,
704,petersagal,,41252,
705,eitanhersh,,601,
706,FUVRuss,,5643,
707,Calvinn_Hobbes,,5070,
708,TheLocalSweden,,35803,
709,elvisguesthouse,,456,
710,HashtagNYU,,13122,
711,PoNE_Lab,,0,
712,susiesseniors,,2351,
713,AdamBerinsky,,1104,
714,BrennanCenter,,24157,
715,runmeb,,5995,
716,genesforgood,,86,
717,uselectionatlas,,226,
718,Wilco,,3986,
719,nprclassical,,5420,
720,dgmacarthur,,25977,
721,hardsci,,16346,
722,dronecoma,,2557,
723,FishriderNZ,,14157,
724,birbigs,,15647,
725,WileyGenetics,,5801,
726,dashingwhippets,,1480,
727,UCSanDiego,,4759,
728,annemariecara,,561,
729,alexlundry,,7976,
730,zeitzoff,,7644,
731,EnvPolicyCenter,,24547,
732,HenryLouisGates,,5371,
733,ianpcook,,6750,
734,scicurious,,50394,
735,ClaireAdida,,7204,
736,ScottClif,,1934,
737,aaron_strauss,,6840,
738,NatureGenet,,3146,
739,dogchow,,2081,
740,econromesh,,17251,
741,JEPS_ed,,21,
742,Padres,,44544,
743,NinaMazar,,444,
744,swedense,,13217,
745,swedennewyork,,13567,
746,conradhackett,,11562,
747,mattkatz00,,24455,
748,paulmromer,,1364,
749,Savagesband,,2185,
750,PNASNews,,4481,
751,sgadarian,,33846,
752,rlmcelreath,,1566,
753,Operators_Band,,4012,
754,freemanjb,,756,
755,BabysAllRight,,7097,
756,ArthurLupia,,667,
757,PSRMJournal,,451,
758,nberpubs,,9958,
759,stasavage,,337,
760,residentadvisor,,52316,
761,myfreeconcertNY,,25323,
762,DG_Rand,,3229,
763,othermusic,,4170,
764,ballotpedia,,22886,
765,ryanvail,,886,
766,SCPAatNYU,,512,
767,ykrupnikov,,581,
768,vanderwindt,,145,
769,brooklynvegan,,45889,
770,WNYC,,85559,
771,littvay,,881,
772,BrooklynBased,,13800,
773,st_vincent,,2482,
774,mkonnikova,,16295,
775,rstudio,,874,
776,cult_cognition,,7039,
777,AEAjournals,,2366,
778,DNAinfoNY,,65187,
779,highlinenyc,,6916,
780,MLBRosterMoves,,11794,
781,nycgo,,17560,
782,CentralParkNYC,,13589,
783,TimeOutNewYork,,49507,
784,humansofny,,5980,
785,PsychFileDrawer,,203,
786,david_m_amodio,,48,
787,NYUPsych,,2749,
788,RyanDEnos,,10045,
789,GallupNews,,10361,
790,kwcollins,,33192,
791,chriscmooney,,15764,
792,Todd_Rogers_,,353,
793,tylercowen,,23702,
794,nancywhang,,979,
795,mikedecr,,729,
796,SimonJackman,,2672,
797,NCSLorg,,17879,
798,HLeithauser,,1104,
799,EGAPTweets,,721,
800,Shteyngart,,5903,
801,ryanbq,,1970,
802,aaroe_lene,,106,
803,Jonathan_Nagler,,99,
804,DEVO,,2993,
805,DLeonhardt,,19633,
806,nyuniversity,,12468,
807,flavorpill_nyc,,16855,
808,daltonconley,,40,
809,PeejLoewen,,4155,
810,SMaPP_NYU,,393,
811,guygrossman,,939,
812,sidney_b,,2069,
813,anthlittle,,1827,
814,bill_easterly,,12889,
815,Patrick_J_Egan,,60,
816,Alternate_Side,,5902,
817,BrianNosek,,5722,
818,Res_Pol,,918,
819,TeXtip,,2839,
820,RoKlemmensen,,1346,
821,wattfrompedro,,2535,
822,virginiahughes,,14285,
823,njdotcom,,90334,
824,RoughTradeNYC,,11891,
825,JohnHibbing,,28,
826,hjghassell,,8583,
827,prisonrodeo,,12462,
828,MooreRyanT,,146,
829,danbalz,,3200,
830,nygenome,,3086,
831,YhatHQ,,7910,
832,gwenifill,,12602,
833,VotingInfo,,2294,
834,M_B_Petersen,,1564,
835,professorcostas,,113,
836,RWElites,,1864,
